Date de la puissance max;Puissance max (VA)
02-10-2021;4197
01-10-2021;2904
30-09-2021;2684
29-09-2021;3024
28-09-2021;3219
27-09-2021;2351
26-09-2021;2299
25-09-2021;2720
24-09-2021;1905
23-09-2021;2302
22-09-2021;2695
21-09-2021;3378
20-09-2021;2283
19-09-2021;3939
18-09-2021;3252
17-09-2021;4565
16-09-2021;3017
15-09-2021;5507
14-09-2021;3274
13-09-2021;2750
12-09-2021;3263
11-09-2021;2450
10-09-2021;3373
09-09-2021;3296
08-09-2021;3157
07-09-2021;3070
05-09-2021;2900
04-09-2021;3804
03-09-2021;3040
02-09-2021;2627
01-09-2021;3494
31-08-2021;3086
30-08-2021;3528
29-08-2021;3388
28-08-2021;3270
27-08-2021;3383
26-08-2021;3048
25-08-2021;3120
24-08-2021;4666
23-08-2021;4618
22-08-2021;2187
21-08-2021;3520
20-08-2021;3684
19-08-2021;3495
18-08-2021;2838
17-08-2021;3006
16-08-2021;3908
15-08-2021;2597
14-08-2021;3967
13-08-2021;4243
12-08-2021;2488
11-08-2021;2528
10-08-2021;1866
09-08-2021;2949
08-08-2021;3009
07-08-2021;4071
06-08-2021;2890
05-08-2021;2923
04-08-2021;3730
03-08-2021;2942
02-08-2021;2368
01-08-2021;2820
31-07-2021;4220
30-07-2021;3397
29-07-2021;3672
28-07-2021;3087
27-07-2021;2345
26-07-2021;2892
25-07-2021;1202
24-07-2021;3079
23-07-2021;2713
22-07-2021;3008
21-07-2021;2868
20-07-2021;2266
19-07-2021;2610
18-07-2021;2798
17-07-2021;3029
16-07-2021;2894
15-07-2021;2427
14-07-2021;2067
13-07-2021;4390
12-07-2021;3785
11-07-2021;3797
10-07-2021;2919
09-07-2021;3150
08-07-2021;2734
07-07-2021;2042
06-07-2021;2915
05-07-2021;3032
04-07-2021;2967
03-07-2021;3172
02-07-2021;3840
01-07-2021;3185
30-06-2021;3544
29-06-2021;2946
28-06-2021;2994
27-06-2021;3375
26-06-2021;3270
25-06-2021;2628
24-06-2021;3733
23-06-2021;3083
21-06-2021;2927
20-06-2021;3934
19-06-2021;2766
18-06-2021;2140
17-06-2021;3089
16-06-2021;3338
15-06-2021;2586
14-06-2021;3145
13-06-2021;2988
12-06-2021;2508
11-06-2021;2683
10-06-2021;2094
09-06-2021;3735
08-06-2021;2825
07-06-2021;3551
06-06-2021;3100
05-06-2021;2653
04-06-2021;5075
03-06-2021;3540
02-06-2021;2594
01-06-2021;2817
31-05-2021;2947
30-05-2021;4606
29-05-2021;3361
28-05-2021;2775
27-05-2021;3151
26-05-2021;3702
25-05-2021;3354
24-05-2021;4850
23-05-2021;3544
22-05-2021;5347
21-05-2021;3142
20-05-2021;4314
19-05-2021;3640
18-05-2021;4550
17-05-2021;3267
16-05-2021;3652
15-05-2021;6421
14-05-2021;4233
13-05-2021;3493
12-05-2021;2040
11-05-2021;5103
10-05-2021;3462
09-05-2021;3898
08-05-2021;5823
07-05-2021;2338
06-05-2021;3207
05-05-2021;4001
04-05-2021;2373
03-05-2021;3141
02-05-2021;3046
01-05-2021;3284
30-04-2021;3820
29-04-2021;3589
28-04-2021;3889
27-04-2021;3322
26-04-2021;3302
25-04-2021;4415
24-04-2021;2985
23-04-2021;3845
22-04-2021;3471
21-04-2021;5256
20-04-2021;3655
19-04-2021;4121
18-04-2021;2671
17-04-2021;3699
15-04-2021;3261
14-04-2021;3420
13-04-2021;3418
12-04-2021;3463
11-04-2021;5279
10-04-2021;3616
09-04-2021;3694
08-04-2021;4000
07-04-2021;4181
06-04-2021;3703
05-04-2021;5190
04-04-2021;3247
03-04-2021;3247
02-04-2021;3522
01-04-2021;2771
31-03-2021;4886
30-03-2021;2914
29-03-2021;3141
28-03-2021;3966
27-03-2021;4389
26-03-2021;2865
25-03-2021;3321
24-03-2021;3638
23-03-2021;3444
22-03-2021;3358
21-03-2021;4116
20-03-2021;4780
19-03-2021;3588
18-03-2021;3818
17-03-2021;5219
16-03-2021;3401
15-03-2021;3483
14-03-2021;3762
13-03-2021;4708
12-03-2021;3833
11-03-2021;4222
